#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         207   -0.357277   -0.365643   0.0024695
         208   -0.365456   -0.365642  0.00245763
         209   -0.353763   -0.365585  0.00244653
         210   -0.353552   -0.365528  0.00243555
         211   -0.360135   -0.365502  0.00242414
         212   -0.376784   -0.365556  0.00241329
         213   -0.388512   -0.365663  0.00240436
         214   -0.389346   -0.365774  0.00239567
         215   -0.359735   -0.365746   0.0023847
         216   -0.354098   -0.365692  0.00237427
         217    -0.32983   -0.365527  0.00236907
         218   -0.339955   -0.365409   0.0023611
         219   -0.336637   -0.365278  0.00235398
         220   -0.353945   -0.365226  0.00234384
         221    -0.37954   -0.365291  0.00233413
         222   -0.374182   -0.365331  0.00232396
         223   -0.390917   -0.365446  0.00231637
         224   -0.394853   -0.365577  0.00230974
         225   -0.409499   -0.365773  0.00230771
         226   -0.413216   -0.365982  0.00230703
         227   -0.404544   -0.366152  0.00230311
         228   -0.405821   -0.366326  0.00229957
         229    -0.40149    -0.36648  0.00229465
         230   -0.418177   -0.366705  0.00229566
         231   -0.409769   -0.366891  0.00229328
         232   -0.364408    -0.36688  0.00228342
         233   -0.345967   -0.366791  0.00227538
         234   -0.326323   -0.366618  0.00227222
         235    -0.31736   -0.366408   0.0022722
         236   -0.379874   -0.366465  0.00226329
         237   -0.418122   -0.366683  0.00226421
         238   -0.426622   -0.366935  0.00226866
         239   -0.365365   -0.366928  0.00225917
         240   -0.335582   -0.366798  0.00225353
         241   -0.308948   -0.366558  0.00225693
         242   -0.315825   -0.366348  0.00225732
         243   -0.345467   -0.366262  0.00224966
         244   -0.363636   -0.366251  0.00224047
         245   -0.388923   -0.366344  0.00223324
         246    -0.37021    -0.36636  0.00222421
         247   -0.374165   -0.366391  0.00221543
         248   -0.341071   -0.366289  0.00220885
         249   -0.344032     -0.3662  0.00220179
         250   -0.366871   -0.366202  0.00219298
