       BLOCK    DISTANCE ACTUAL_GOFR    AVE_GOFR       ERROR
           3     1.32096      1.0194      1.0257  0.00296452
           3     1.34661    0.945496    0.945858  0.00448116
           3     1.37226    0.875678    0.874425   0.0021665
           3     1.39791    0.818121    0.816083  0.00367126
           3     1.42355    0.785483    0.778983   0.0028856
           3      1.4492    0.744096    0.738967  0.00276479
           3     1.47485    0.713376    0.708747  0.00191102
           3      1.5005    0.699161    0.689864  0.00398968
           3     1.52615    0.683572    0.676289  0.00383728
           3      1.5518    0.675035    0.669315  0.00254902
           3     1.57745    0.679727    0.670516  0.00377867
           3      1.6031    0.674911    0.673199  0.00192428
           3     1.62875    0.687731    0.685082  0.00140442
           3      1.6544     0.70298    0.697008  0.00244769
           3     1.68005    0.725462    0.720383  0.00208375
           3      1.7057     0.74926    0.748452  0.00121505
           3     1.73135    0.777201    0.777504 0.000131112
           3       1.757    0.811694    0.813435 0.000766476
           3     1.78265    0.841959    0.849054  0.00299974
           3      1.8083    0.887438    0.892066  0.00212868
           3     1.83395    0.925171    0.936169  0.00472674
           3      1.8596    0.966904    0.976068  0.00417413
           3     1.88525     1.00746     1.01852  0.00506266
           3      1.9109     1.05166     1.05713  0.00237019
           3     1.93655     1.08162     1.09183   0.0046036
           3      1.9622     1.12205     1.12905  0.00479954
           3     1.98785     1.15333     1.15822  0.00356121
           3      2.0135     1.17949      1.1814 0.000785423
           3     2.03915     1.19955      1.2039  0.00301632
           3      2.0648     1.21429     1.21493  0.00123631
           3     2.09045     1.21558     1.21639  0.00127012
           3      2.1161     1.21135      1.2103 0.000436524
           3     2.14174     1.19903     1.19697  0.00130641
           3     2.16739     1.18336     1.18015   0.0021362
           3     2.19304     1.15566     1.15321  0.00116006
           3     2.21869     1.13386     1.12931  0.00187378
           3     2.24434     1.10536     1.10143  0.00407313
           3     2.26999     1.07476     1.06901  0.00238937
           3     2.29564      1.0521     1.04226  0.00419592
           3     2.32129     1.02137     1.01461  0.00440741
           3     2.34694     1.00193    0.992299  0.00509069
           3     2.37259    0.981616    0.970715  0.00510214
           3     2.39824    0.953954    0.948591  0.00341711
           3     2.42389    0.935984    0.931913  0.00355245
           3     2.44954    0.923341    0.917281   0.0036389
           3     2.47519    0.912584    0.907557  0.00244749
           3     2.50084    0.895818    0.893702  0.00143351
           3     2.52649      0.8851    0.885547 0.000663115
           3     2.55214     0.88708    0.884991 0.000870986
           4   0.0128248           0           0           0
           4   0.0384745           0           0           0
           4   0.0641241           0           0           0
           4   0.0897737           0           0           0
           4    0.115423           0           0           0
           4    0.141073           0           0           0
           4    0.166723           0           0           0
           4    0.192372           0           0           0
           4    0.218022           0           0           0
           4    0.243672           0           0           0
           4    0.269321           0           0           0
           4    0.294971           0           0           0
           4     0.32062           0           0           0
           4     0.34627           0           0           0
           4     0.37192           0           0           0
           4    0.397569           0           0           0
           4    0.423219           0           0           0
           4    0.448869           0           0           0
           4    0.474518           0           0           0
           4    0.500168           0           0           0
           4    0.525818           0           0           0
           4    0.551467           0           0           0
           4    0.577117           0           0           0
           4    0.602767           0           0           0
           4    0.628416           0           0           0
           4    0.654066           0           0           0
           4    0.679715           0           0           0
           4    0.705365           0           0           0
           4    0.731015           0           0           0
           4    0.756664           0           0           0
           4    0.782314           0           0           0
           4    0.807964           0           0           0
           4    0.833613           0           0           0
           4    0.859263           0 4.86307e-06 4.21154e-06
           4    0.884913  0.00135724    0.001183 0.000126656
           4    0.910562   0.0249096   0.0245588 0.000173048
           4    0.936212    0.163355    0.162883  0.00144474
           4    0.961861    0.564593    0.559536   0.0018222
           4    0.987511     1.19828       1.195  0.00493655
           4     1.01316     1.86731     1.86338  0.00637974
           4     1.03881     2.32361     2.32703  0.00181704
           4     1.06446     2.54066      2.5507  0.00700941
           4     1.09011     2.53527     2.54314   0.0027833
           4     1.11576     2.38922     2.40103  0.00445042
           4     1.14141     2.20062     2.20222  0.00601366
           4     1.16706     1.96668     1.97263  0.00278156
           4     1.19271     1.76011      1.7613  0.00309159
           4     1.21836     1.56712      1.5654  0.00267682
           4     1.24401     1.40062     1.39714  0.00196904
           4     1.26966     1.24119     1.24814  0.00258073
           4     1.29531     1.11722      1.1257  0.00368757
           4     1.32096      1.0349       1.028  0.00298588
           4     1.34661    0.950977    0.947138  0.00353892
           4     1.37226    0.874046     0.87433  0.00162694
           4     1.39791    0.816791     0.81626  0.00275771
           4     1.42355    0.775447    0.778099  0.00229567
           4      1.4492    0.741204    0.739526  0.00212937
           4     1.47485    0.719768    0.711502   0.0027834
           4      1.5005     0.69814    0.691933  0.00348773
           4     1.52615    0.686285    0.678788  0.00360091
           4      1.5518    0.678793    0.671684  0.00280452
           4     1.57745    0.676269    0.671955  0.00309563
           4      1.6031    0.681679    0.675319  0.00233533
           4     1.62875     0.68621    0.685364  0.00108126
           4      1.6544    0.706496     0.69938  0.00275492
           4     1.68005    0.718419    0.719892  0.00161964
           4      1.7057    0.748935    0.748573 0.000917249
           4     1.73135    0.779395    0.777977 0.000421072
           4       1.757    0.809181    0.812372  0.00108571
           4     1.78265    0.846777    0.848485  0.00230316
           4      1.8083    0.890161     0.89159  0.00164892
           4     1.83395    0.932064    0.935143  0.00365478
           4      1.8596    0.965621    0.973456  0.00386224
           4     1.88525     1.01612     1.01792  0.00383236
           4      1.9109     1.05117     1.05564   0.0021965
           4     1.93655     1.09549     1.09275  0.00354247
           4      1.9622     1.12971     1.12922  0.00360249
           4     1.98785     1.16117     1.15896  0.00274641
           4      2.0135      1.1853     1.18237  0.00103008
           4     2.03915     1.19588     1.20189  0.00285098
           4      2.0648     1.21598     1.21519 0.000954694
           4     2.09045     1.21402      1.2158  0.00108209
           4      2.1161     1.21422     1.21128 0.000910246
           4     2.14174     1.19496     1.19646  0.00107203
           4     2.16739     1.16834     1.17719   0.0030171
           4     2.19304     1.14857     1.15205  0.00132913
           4     2.21869     1.12149     1.12736  0.00220061
           4     2.24434     1.09074     1.09875  0.00383238
           4     2.26999     1.06535      1.0681  0.00195997
           4     2.29564     1.03715     1.04099  0.00333564
           4     2.32129     1.01507     1.01473  0.00330707
           4     2.34694    0.988785    0.991421  0.00389309
           4     2.37259     0.96817    0.970079  0.00386609
           4     2.39824    0.953939    0.949928  0.00281228
           4     2.42389     0.93516    0.932725   0.0027555
           4     2.44954    0.922019    0.918466   0.0029156
           4     2.47519     0.91332    0.908998  0.00221948
           4     2.50084    0.900547    0.895413  0.00183095
           4     2.52649    0.891058    0.886925  0.00129275
           4     2.55214    0.892535    0.886877  0.00175909
           5   0.0128248           0           0           0
           5   0.0384745           0           0           0
           5   0.0641241           0           0           0
           5   0.0897737           0           0           0
           5    0.115423           0           0           0
           5    0.141073           0           0           0
           5    0.166723           0           0           0
           5    0.192372           0           0           0
           5    0.218022           0           0           0
           5    0.243672           0           0           0
           5    0.269321           0           0           0
           5    0.294971           0           0           0
           5     0.32062           0           0           0
           5     0.34627           0           0           0
           5     0.37192           0           0           0
           5    0.397569           0           0           0
           5    0.423219           0           0           0
           5    0.448869           0           0           0
           5    0.474518           0           0           0
           5    0.500168           0           0           0
           5    0.525818           0           0           0
           5    0.551467           0           0           0
           5    0.577117           0           0           0
           5    0.602767           0           0           0
           5    0.628416           0           0           0
           5    0.654066           0           0           0
           5    0.679715           0           0           0
           5    0.705365           0           0           0
           5    0.731015           0           0           0
           5    0.756664           0           0           0
           5    0.782314           0           0           0
           5    0.807964           0           0           0
           5    0.833613           0           0           0
           5    0.859263           0 3.89046e-06 3.47973e-06
           5    0.884913  0.00124719  0.00119584 0.000101974
           5    0.910562   0.0240954   0.0244661 0.000161357
           5    0.936212    0.163437    0.162994  0.00116002
           5    0.961861    0.568661    0.561361  0.00218841
           5    0.987511     1.21779     1.19956  0.00567668
           5     1.01316     1.87317     1.86534  0.00539635
           5     1.03881     2.34888      2.3314  0.00417089
           5     1.06446     2.56925     2.55441  0.00651503
           5     1.09011     2.54176     2.54286   0.0022403
           5     1.11576     2.41247     2.40332  0.00410597
           5     1.14141     2.19573     2.20092  0.00494928
           5     1.16706     1.97186     1.97248  0.00222956
           5     1.19271     1.75376     1.75979  0.00281733
           5     1.21836     1.55018     1.56235  0.00346357
           5     1.24401     1.38457     1.39463  0.00274561
           5     1.26966     1.22793      1.2441  0.00416389
           5     1.29531     1.11149     1.12286  0.00389494
           5     1.32096     1.01764     1.02593  0.00302299
           5     1.34661    0.932015    0.944113  0.00391579
           5     1.37226     0.86876    0.873216  0.00163914
           5     1.39791     0.81438    0.815884  0.00223164
           5     1.42355    0.776219    0.777723  0.00186707
           5      1.4492    0.735008    0.738623  0.00188555
           5     1.47485    0.712769    0.711756  0.00223821
           5      1.5005     0.68947     0.69144  0.00282474
           5     1.52615     0.67714    0.678458  0.00289577
