sigma,run,epochs,train_loss,val_loss
0.7999999999999998,2,83,0.6699221730232239,0.7837165594100952
0.7999999999999998,3,83,0.7430503964424133,0.7868871092796326
0.7999999999999998,4,83,0.7795184254646301,0.5473692417144775
0.7999999999999998,5,83,0.7359321713447571,0.7380548119544983
0.7999999999999998,6,83,0.741273045539856,0.7916783690452576
0.7999999999999998,7,83,0.6027913689613342,0.589104175567627
0.7999999999999998,8,83,0.6339293122291565,0.47515442967414856
0.7999999999999998,9,83,0.6751726269721985,0.697001576423645
0.7999999999999998,10,83,0.6727387309074402,0.6438062191009521
0.5999999999999999,1,83,0.3023463189601898,0.2701883614063263
0.5999999999999999,2,83,0.323988676071167,0.37822073698043823
0.5999999999999999,3,83,0.30454006791114807,0.4006982445716858
0.5999999999999999,4,83,0.4207962453365326,0.4245733618736267
0.5999999999999999,5,83,0.3577820956707001,0.4138104319572449
0.5999999999999999,6,83,0.37213075160980225,0.40958428382873535
0.5999999999999999,7,83,0.3180931806564331,0.38473808765411377
0.5999999999999999,8,83,0.37744471430778503,0.44944462180137634
0.5999999999999999,9,83,0.3459137976169586,0.3050185441970825
0.5999999999999999,10,83,0.400455117225647,0.4033103287220001
0.3999999999999999,1,83,0.17868530750274658,0.18343055248260498
0.3999999999999999,2,83,0.19175343215465546,0.1420889049768448
0.3999999999999999,3,83,0.16799145936965942,0.2467205822467804
0.3999999999999999,4,83,0.20479534566402435,0.16322845220565796
0.3999999999999999,5,83,0.20607046782970428,0.18711091578006744
0.3999999999999999,6,83,0.14627164602279663,0.2099073827266693
0.3999999999999999,7,83,0.17991991341114044,0.22922708094120026
0.3999999999999999,8,83,0.18894749879837036,0.22136172652244568
0.3999999999999999,9,83,0.28623995184898376,0.2640474736690521
0.3999999999999999,10,83,0.18669243156909943,0.22876010835170746
0.19999999999999996,1,83,0.05264095962047577,0.06395065039396286
0.19999999999999996,2,83,0.045291367918252945,0.04267476126551628
0.19999999999999996,3,83,0.07743220031261444,0.06697817146778107
0.19999999999999996,4,83,0.050973888486623764,0.05456627905368805
0.19999999999999996,5,83,0.0483693853020668,0.03749392181634903
0.19999999999999996,6,83,0.05130584165453911,0.047089189291000366
0.19999999999999996,7,83,0.09469719976186752,0.0935148224234581
0.19999999999999996,8,83,0.049445368349552155,0.046185217797756195
0.19999999999999996,9,83,0.060214925557374954,0.051170773804187775
0.19999999999999996,10,83,0.04161879047751427,0.052364982664585114
0.0,1,83,0.011585984379053116,0.0118904123082757
0.0,2,83,0.05617141351103783,0.037219107151031494
0.0,3,83,0.0011550241615623236,0.0012660309439525008
0.0,4,83,0.012503043748438358,0.011214649304747581
0.0,5,83,0.04699226841330528,0.03771428018808365
0.0,6,83,0.00830051489174366,0.006876480765640736
0.0,7,83,0.03121500462293625,0.03551867604255676
0.0,8,83,0.005397153086960316,0.004849511198699474
0.0,9,83,0.003895690431818366,0.0029237004928290844
0.0,10,83,0.0030295690521597862,0.003609739476814866
