

New grid search run:
Combination ID=41: Loss=mse, Metric=mse, Epochs=100, Activation=linear, Optimizer=rmsprop, Neurons=10, Layers=2, Final training loss=0.6181215643882751, Final validation loss=0.5851674675941467, Final training metric=0.6181215643882751, Final validation metric=0.5851674675941467, Number of parameters=141
Combination ID=42: Loss=mse, Metric=mse, Epochs=100, Activation=linear, Optimizer=rmsprop, Neurons=10, Layers=3, Final training loss=0.6241530776023865, Final validation loss=0.607933759689331, Final training metric=0.6241530776023865, Final validation metric=0.607933759689331, Number of parameters=251
Combination ID=43: Loss=mse, Metric=mse, Epochs=100, Activation=linear, Optimizer=rmsprop, Neurons=20, Layers=1, Final training loss=0.616736114025116, Final validation loss=0.5973331928253174, Final training metric=0.616736114025116, Final validation metric=0.5973331928253174, Number of parameters=61
Combination ID=44: Loss=mse, Metric=mse, Epochs=100, Activation=linear, Optimizer=rmsprop, Neurons=20, Layers=2, Final training loss=0.6167974472045898, Final validation loss=0.6458743214607239, Final training metric=0.6167974472045898, Final validation metric=0.6458743214607239, Number of parameters=481
Combination ID=45: Loss=mse, Metric=mse, Epochs=100, Activation=linear, Optimizer=rmsprop, Neurons=20, Layers=3, Final training loss=0.6188850998878479, Final validation loss=0.6227915287017822, Final training metric=0.6188850998878479, Final validation metric=0.6227915287017822, Number of parameters=901
Combination ID=46: Loss=mse, Metric=mse, Epochs=100, Activation=linear, Optimizer=adam, Neurons=5, Layers=1, Final training loss=0.6142863631248474, Final validation loss=0.6031004190444946, Final training metric=0.6142863631248474, Final validation metric=0.6031004190444946, Number of parameters=16
Combination ID=47: Loss=mse, Metric=mse, Epochs=100, Activation=linear, Optimizer=adam, Neurons=5, Layers=2, Final training loss=0.6151946783065796, Final validation loss=0.6008379459381104, Final training metric=0.6151946783065796, Final validation metric=0.6008379459381104, Number of parameters=46
Combination ID=48: Loss=mse, Metric=mse, Epochs=100, Activation=linear, Optimizer=adam, Neurons=5, Layers=3, Final training loss=0.6181554794311523, Final validation loss=0.6032992005348206, Final training metric=0.6181554794311523, Final validation metric=0.6032992005348206, Number of parameters=76
Combination ID=49: Loss=mse, Metric=mse, Epochs=100, Activation=linear, Optimizer=adam, Neurons=10, Layers=1, Final training loss=0.6153527498245239, Final validation loss=0.6040616035461426, Final training metric=0.6153527498245239, Final validation metric=0.6040616035461426, Number of parameters=31
Combination ID=50: Loss=mse, Metric=mse, Epochs=100, Activation=linear, Optimizer=adam, Neurons=10, Layers=2, Final training loss=0.6189237833023071, Final validation loss=0.5946218371391296, Final training metric=0.6189237833023071, Final validation metric=0.5946218371391296, Number of parameters=141
Combination ID=51: Loss=mse, Metric=mse, Epochs=100, Activation=linear, Optimizer=adam, Neurons=10, Layers=3, Final training loss=0.6164839267730713, Final validation loss=0.5898703932762146, Final training metric=0.6164839267730713, Final validation metric=0.5898703932762146, Number of parameters=251
Combination ID=52: Loss=mse, Metric=mse, Epochs=100, Activation=linear, Optimizer=adam, Neurons=20, Layers=1, Final training loss=0.6149061918258667, Final validation loss=0.6043509244918823, Final training metric=0.6149061918258667, Final validation metric=0.6043509244918823, Number of parameters=61
Combination ID=53: Loss=mse, Metric=mse, Epochs=100, Activation=linear, Optimizer=adam, Neurons=20, Layers=2, Final training loss=0.6185274124145508, Final validation loss=0.6091606020927429, Final training metric=0.6185274124145508, Final validation metric=0.6091606020927429, Number of parameters=481
Combination ID=54: Loss=mse, Metric=mse, Epochs=100, Activation=linear, Optimizer=adam, Neurons=20, Layers=3, Final training loss=0.6258066892623901, Final validation loss=0.5918622612953186, Final training metric=0.6258066892623901, Final validation metric=0.5918622612953186, Number of parameters=901
