#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         209     1.59689     1.59675 1.16106e-05
         210     1.59674     1.59675 1.15554e-05
         211     1.59683     1.59675 1.15073e-05
         212     1.59688     1.59675 1.14706e-05
         213     1.59694     1.59675 1.14524e-05
         214      1.5966     1.59675   1.142e-05
         215     1.59693     1.59675 1.13973e-05
         216     1.59698     1.59675 1.13921e-05
         217     1.59688     1.59675 1.13538e-05
         218     1.59677     1.59675 1.13021e-05
         219     1.59672     1.59675 1.12513e-05
         220     1.59691     1.59675 1.12227e-05
         221     1.59664     1.59675 1.11846e-05
         222     1.59662     1.59675 1.11496e-05
         223      1.5967     1.59675 1.11024e-05
         224     1.59668     1.59675 1.10571e-05
         225     1.59664     1.59675 1.10188e-05
         226     1.59673     1.59675 1.09705e-05
         227     1.59684     1.59675 1.09285e-05
         228     1.59652     1.59675 1.09276e-05
         229     1.59671     1.59675 1.08813e-05
         230     1.59685     1.59675 1.08424e-05
         231     1.59681     1.59675 1.07982e-05
         232     1.59675     1.59675 1.07517e-05
         233     1.59686     1.59675 1.07152e-05
         234     1.59672     1.59675 1.06701e-05
         235     1.59649     1.59675 1.06834e-05
         236     1.59644     1.59675 1.07183e-05
         237     1.59656     1.59675 1.07014e-05
         238     1.59672     1.59675 1.06573e-05
         239     1.59687     1.59675 1.06248e-05
         240     1.59691     1.59675 1.06024e-05
         241     1.59656     1.59675 1.05874e-05
         242     1.59663     1.59675 1.05552e-05
         243      1.5965     1.59675 1.05603e-05
         244     1.59655     1.59675 1.05466e-05
         245     1.59686     1.59675 1.05146e-05
         246     1.59677     1.59675 1.04721e-05
         247     1.59684     1.59675 1.04362e-05
         248     1.59688     1.59675 1.04071e-05
         249     1.59679     1.59675  1.0367e-05
         250     1.59655     1.59675 1.03553e-05
