#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         236    -5.97602    -6.18523   0.0209581
         237    -5.97567    -6.18435   0.0208883
         238    -5.97472    -6.18347   0.0208191
         239    -5.97393    -6.18259   0.0207504
         240    -5.97301    -6.18172   0.0206824
         241    -5.97242    -6.18085   0.0206148
         242    -5.97127    -6.17999   0.0205478
         243    -5.97015    -6.17912   0.0204813
         244    -5.96938    -6.17826   0.0204154
         245    -5.96837    -6.17741   0.0203501
         246    -5.96786    -6.17655   0.0202852
         247    -5.96712    -6.17571   0.0202207
         248    -5.96646    -6.17486   0.0201568
         249    -5.96632    -6.17402   0.0200932
         250    -5.96597    -6.17319   0.0200301
         251    -5.96586    -6.17237   0.0199673
         252    -5.96614    -6.17155   0.0199049
         253    -5.96592    -6.17074   0.0198428
         254    -5.96506    -6.16993   0.0197812
         255    -5.96536    -6.16912   0.0197198
         256    -5.96577    -6.16833   0.0196588
         257    -5.96645    -6.16754    0.019598
         258     -5.9671    -6.16677   0.0195374
         259    -5.96787      -6.166   0.0194771
         260    -5.96922    -6.16524   0.0194169
         261    -5.97039     -6.1645   0.0193568
         262    -5.97123    -6.16376    0.019297
         263    -5.97219    -6.16303   0.0192374
         264    -5.97358    -6.16231   0.0191779
         265    -5.97493     -6.1616   0.0191185
         266    -5.97656    -6.16091   0.0190593
         267    -5.97859    -6.16023   0.0190002
         268    -5.98058    -6.15956   0.0189411
         269    -5.98191     -6.1589   0.0188822
         270    -5.98394    -6.15825   0.0188234
         271    -5.98605    -6.15761   0.0187646
         272    -5.98779    -6.15699    0.018706
         273     -5.9899    -6.15638   0.0186475
         274    -5.99222    -6.15578   0.0185891
         275     -5.9952    -6.15519   0.0185306
         276    -5.99762    -6.15462   0.0184723
         277    -5.99992    -6.15406   0.0184141
         278    -6.00239    -6.15352   0.0183559
         279    -6.00488    -6.15298   0.0182978
         280    -6.00722    -6.15246   0.0182399
         281    -6.00971    -6.15196   0.0181821
         282    -6.01249    -6.15146   0.0181243
