       BLOCK    VELOCITY ACTUAL_POFV    AVE_POFV       ERROR
          13     4.99689           0   0.0315769   0.0175716
          13     5.18545           0  0.00119231  0.00114553
          13     5.37401           0  0.00180769  0.00173677
          13     5.56257           0           0           0
          14   0.0942809           0   0.0618214   0.0131597
          14    0.282843      0.1885    0.759107    0.098985
          14    0.471405       2.229     2.02011    0.111189
          14    0.659966      4.6315     3.73025    0.326218
          14    0.848528       3.973     5.23918    0.405114
          14     1.03709       5.664      7.9095     0.43248
          14     1.22565       8.944     8.95407     0.43602
          14     1.41421       8.113     8.94064    0.304895
          14     1.60278      12.981     9.63479    0.375145
          14     1.79134     12.1925     9.77071     0.39738
          14      1.9799       8.882     9.64014    0.440027
          14     2.16846      10.851     9.22539    0.293962
          14     2.35702      8.3315     6.77343    0.490206
          14     2.54558       6.359     6.65329     0.33475
          14     2.73415       4.292     5.68232    0.385523
          14     2.92271      2.2375     4.22339    0.302461
          14     3.11127      3.1735       2.799    0.181851
          14     3.29983       2.968     2.32629    0.210689
          14     3.48839      0.8875     1.58721     0.10683
          14     3.67696      0.2825     1.11921    0.139826
          14     3.86552      0.5275       0.436    0.051754
          14     4.05408      0.1915    0.239821    0.053598
          14     4.24264       0.052    0.136571   0.0578706
          14      4.4312       0.048   0.0647857   0.0235743
          14     4.61976           0   0.0118929  0.00662809
          14     4.80833           0   0.0289643   0.0179268
          14     4.99689           0   0.0293214   0.0164606
          14     5.18545           0  0.00110714  0.00106687
          14     5.37401           0  0.00167857  0.00161751
          14     5.56257           0           0           0
          15   0.0942809        0.03      0.0597   0.0124522
          15    0.282843       0.159      0.7191    0.100145
          15    0.471405      2.6165     2.05987    0.110657
          15    0.659966       3.016     3.68263    0.307926
          15    0.848528      5.7195      5.2712     0.37937
          15     1.03709       8.732     7.96433    0.407109
          15     1.22565      9.1735      8.9687    0.407198
          15     1.41421       7.759     8.86187     0.29457
          15     1.60278      9.7645     9.64343    0.350235
          15     1.79134     10.7525     9.83617    0.376239
          15      1.9799     11.4965      9.7639    0.427741
          15     2.16846       8.964     9.20797     0.27488
          15     2.35702       9.144     6.93147    0.482329
          15     2.54558       5.258     6.56027    0.325101
          15     2.73415      3.6765      5.5486     0.38231
          15     2.92271      2.6465     4.11827     0.30001
          15     3.11127      3.4765     2.84417    0.175247
          15     3.29983      2.3585     2.32843    0.196654
          15     3.48839       1.998      1.6146    0.103158
          15     3.67696      0.9075      1.1051    0.131214
          15     3.86552       0.292      0.4264    0.049186
          15     4.05408      0.0595      0.2278   0.0513552
          15     4.24264           0    0.127467   0.0547241
          15      4.4312           0   0.0604667   0.0223948
          15     4.61976           0      0.0111  0.00623346
          15     4.80833           0   0.0270333   0.0168354
          15     4.99689           0   0.0273667   0.0154788
          15     5.18545           0  0.00103333 0.000998295
          15     5.37401           0  0.00156667  0.00151354
          15     5.56257           0           0           0
          16   0.0942809       0.006   0.0563437   0.0121178
          16    0.282843       0.988    0.735906   0.0952858
          16    0.471405       1.404     2.01887    0.111074
          16    0.659966      3.0365     3.64225    0.291316
          16    0.848528      5.4945     5.28516    0.355916
          16     1.03709       8.096     7.97256    0.381748
          16     1.22565     10.3125     9.05269    0.390313
          16     1.41421       8.863     8.86194    0.276159
          16     1.60278      10.064     9.66972     0.32933
          16     1.79134       9.929     9.84197    0.352769
          16      1.9799       8.328     9.67416    0.410314
          16     2.16846     11.0745     9.32463    0.281368
          16     2.35702       9.415     7.08669    0.476505
          16     2.54558       7.975     6.64869    0.316578
          16     2.73415        4.65     5.49244    0.362517
          16     2.92271      1.7975     3.97322    0.314374
          16     3.11127       1.109     2.73572    0.194983
          16     3.29983      2.5935       2.345     0.18506
          16     3.48839       0.681     1.55625    0.112004
          16     3.67696      0.8135     1.08688    0.124273
          16     3.86552       0.495    0.430688   0.0462984
          16     4.05408       0.432    0.240562    0.049706
          16     4.24264      0.4425    0.147156   0.0547315
