#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         197     1.59677     1.59655 6.12515e-05
         198     1.59692     1.59655 6.09699e-05
         199     1.59668     1.59656  6.0667e-05
         200     1.59686     1.59656 6.03828e-05
         201     1.59706     1.59656 6.01338e-05
         202     1.59705     1.59656 5.98856e-05
         203     1.59669     1.59656 5.95937e-05
         204     1.59661     1.59656 5.93022e-05
         205     1.59692     1.59656 5.90386e-05
         206     1.59678     1.59657 5.87613e-05
         207     1.59665     1.59657 5.84787e-05
         208     1.59692     1.59657 5.82223e-05
         209     1.59676     1.59657 5.79509e-05
         210     1.59664     1.59657 5.76759e-05
         211     1.59684     1.59657 5.74169e-05
         212      1.5968     1.59657 5.71568e-05
         213      1.5968     1.59657 5.68987e-05
         214     1.59664     1.59657 5.66336e-05
         215     1.59686     1.59657 5.63857e-05
         216     1.59674     1.59657 5.61301e-05
         217     1.59677     1.59658 5.58786e-05
         218     1.59651     1.59658 5.56231e-05
         219     1.59672     1.59658  5.5373e-05
         220     1.59675     1.59658 5.51269e-05
         221     1.59669     1.59658 5.48797e-05
         222     1.59707     1.59658 5.46766e-05
         223     1.59686     1.59658 5.44463e-05
         224     1.59651     1.59658 5.42041e-05
         225      1.5969     1.59658 5.39822e-05
         226     1.59642     1.59658 5.37483e-05
         227     1.59695     1.59658 5.35355e-05
         228     1.59713     1.59658 5.33548e-05
         229     1.59666     1.59659 5.31228e-05
         230     1.59665     1.59659 5.28925e-05
         231     1.59685     1.59659 5.26762e-05
         232     1.59666     1.59659 5.24501e-05
         233      1.5969     1.59659 5.22423e-05
         234     1.59689     1.59659 5.20354e-05
         235     1.59658     1.59659  5.1814e-05
         236     1.59691     1.59659 5.16125e-05
         237     1.59693     1.59659 5.14148e-05
         238     1.59656     1.59659 5.11989e-05
         239     1.59659     1.59659 5.09847e-05
         240     1.59672     1.59659 5.07753e-05
         241     1.59657     1.59659 5.05647e-05
         242     1.59679     1.59659  5.0362e-05
         243     1.59678     1.59659 5.01606e-05
         244      1.5964     1.59659 4.99615e-05
         245     1.59658     1.59659 4.97576e-05
         246     1.59709      1.5966 4.95958e-05
         247     1.59656      1.5966 4.93953e-05
         248     1.59671      1.5966 4.91982e-05
         249     1.59669      1.5966 4.90021e-05
         250     1.59673      1.5966 4.88091e-05
