x y z
-1.39055 -0.697241 -3.18941
-1.61693 -0.379525 3.04652
3.12047 -1.31288 0.541177
-0.650966 2.01418 1.85997
-0.236015 0.374264 4.41493
0.349793 -0.41922 -1.74619
2.51776 -0.0369705 2.9336
0.387797 -2.31816 4.27027
-1.57038 1.37326 1.57473
1.03963 -2.10579 5.56555
-0.828235 1.62752 -8.70327
0.849403 -1.63504 1.99374
-1.58212 1.24819 -2.30361
-0.295727 0.615989 3.66362
-0.225401 0.800041 -3.96827
0.661566 1.16827 -4.83845
1.19833 -0.450972 -1.04109
3.16485 1.37007 3.10377
-1.9877 2.37803 -1.66875
-0.303895 3.95598 4.92977
3.96324 -3.48658 -6.62254
1.71349 -1.99508 -6.1202
-0.468334 -3.77745 -9.6818
-2.98858 -0.836306 -2.47602
-1.38627 -0.459529 -1.21742
1.99636 -4.81483 3.35926
-3.74586 -1.89026 -10.8658
1.34286 -1.8718 -2.88953
-1.3877 -1.85242 -4.25362
1.55968 1.32104 3.98145
-0.0849447 2.83715 1.86376
6.6415 7.5431 4.90157
-2.42704 2.07884 -2.08101
-7.01209 -3.28162 10.5989
-4.74726 2.23266 4.43725
-2.08893 2.19286 2.2579
0.78092 -0.245241 2.50658
2.72111 0.521318 2.33039
0.541106 -0.584036 -3.35988
-2.12013 0.0538017 -1.04208
2.7522 -0.917984 2.15019
0.486134 -0.681718 -5.14025
-1.32696 0.838419 3.9473
-1.15051 -1.44261 1.9143
-0.740074 -1.51036 -3.90381
-2.44863 -2.46 -7.22835
1.37959 3.0625 -5.0705
0.78075 -0.247613 2.53093
2.46646 2.56195 -4.03905
0.3454 -1.19382 -2.90545
-0.969173 3.69534 -11.225
-1.40704 -5.3531 3.91951
2.14164 -5.92266 -1.57684
0.255577 -3.18638 3.10073
6.18977 -1.44086 4.06859
-0.154848 1.16314 3.27921
-6.71878 -0.72718 2.4863
-3.82006 1.01704 0.74512
-0.585461 3.36616 -3.96449
0.131343 -1.13512 2.84964
1.6903 3.12272 2.65213
-0.379521 -3.10631 -5.07543
0.569185 -1.29561 5.14471
-0.799486 0.758074 -2.29525
-0.1525 -0.435802 10.2415
2.56955 -0.922653 4.70058
0.340373 -0.613477 -2.41119
1.0766 0.169754 4.04609
3.83099 0.220049 8.08347
-0.0227787 -1.23255 -1.54938
-0.293884 5.97767 -3.84958
0.167868 4.13526 2.2965
1.81547 -3.67072 -6.09975
-2.20901 -2.89611 7.50986
-1.9331 -0.147066 -1.23627
3.31547 1.73764 -8.70217
-4.37533 -1.07164 2.02821
1.54392 2.17774 4.16321
-0.972145 -2.71917 1.04701
-0.680691 -1.31691 -1.88612
-2.11312 0.210974 2.07332
0.876113 -0.59803 4.4628
-0.710124 -0.919572 -3.39294
1.35034 -1.07793 -2.42342
-2.0674 -2.96584 -0.817879
-1.06844 -0.699992 10.4857
0.729376 -0.647724 -3.49764
-1.99013 0.714411 1.71866
0.266522 -0.658886 2.55822
-0.101736 -0.341116 -6.30587
0.141003 -0.61484 7.61463
1.22341 2.05864 6.43096
3.19345 1.89124 3.12569
0.208492 -0.307775 1.52905
-0.870954 -3.30866 1.63634
-1.53926 -1.5511 1.89882
0.501899 -1.55521 6.98368
-2.53706 -2.65821 1.90882
0.995846 -0.728605 1.92759
3.26118 -2.2419 -1.77235
-0.0047072 1.1294 -3.39802
-1.11912 3.23987 -3.38863
1.89577 -1.72903 -3.09955
3.57376 0.515827 3.58752
1.8816 -1.10377 -2.99534
1.56426 -3.09965 -3.36795
0.510041 -0.487817 3.41979
-1.53851 2.40997 -5.0929
3.05156 0.337057 2.97862
2.13112 -0.0561479 -2.56704
-3.32939 1.44252 -2.00769
-0.0180485 2.53649 -2.39802
0.613557 -0.418853 -3.46486
2.67889 -2.19633 -4.96879
0.498454 -1.4361 2.56503
0.0543805 -0.25151 3.51955
-1.54206 -3.01986 -3.74973
4.60368 4.91428 -0.948658
-2.3708 2.97251 -4.9189
-1.37845 -3.76778 -1.9843
2.61602 3.64215 -4.36683
-3.91402 -0.324837 6.71895
-2.96829 0.873554 -1.5233
0.131814 0.604312 3.01863
2.55164 -1.15769 2.91951
-2.1011 1.1578 -2.41078
1.41976 0.541924 -1.9164
0.224275 -0.783937 4.05366
