SA_step;Energy;Energy_error
42200;-0.45342;0.00607472
42300;-0.45342;0.00607472
42400;-0.45342;0.00607472
42500;-0.45342;0.00607472
42600;-0.45342;0.00607472
42700;-0.45342;0.00607472
42800;-0.445894;0.00620464
42900;-0.449062;0.00548904
43000;-0.449062;0.00548904
43100;-0.444303;0.00596348
43200;-0.446913;0.0056214
43300;-0.442591;0.00534639
43400;-0.449955;0.00735008
43500;-0.449955;0.00735008
43600;-0.445293;0.009074
43700;-0.442037;0.0068395
43800;-0.437514;0.00809224
43900;-0.439074;0.00596983
44000;-0.448415;0.00616572
44100;-0.439212;0.00766676
44200;-0.44255;0.00968963
44300;-0.445436;0.00835752
44400;-0.448493;0.00827633
44500;-0.445823;0.00707485
44600;-0.43952;0.00621277
44700;-0.447482;0.00592924
44800;-0.446331;0.00915346
44900;-0.453604;0.00560073
45000;-0.453604;0.00560073
45100;-0.453604;0.00560073
45200;-0.453604;0.00560073
45300;-0.453604;0.00560073
45400;-0.453604;0.00560073
45500;-0.4461;0.00670394
45600;-0.444001;0.00782411
45700;-0.447259;0.00619345
45800;-0.446763;0.00601063
45900;-0.434013;0.00528383
46000;-0.443903;0.00639407
46100;-0.442322;0.00656325
46200;-0.444234;0.00792905
46300;-0.4513;0.00601992
46400;-0.446039;0.00906156
46500;-0.446035;0.00905843
46600;-0.438674;0.00933806
46700;-0.444075;0.00537167
46800;-0.444011;0.00881835
46900;-0.44635;0.00735794
47000;-0.445516;0.0052942
47100;-0.452391;0.00583134
47200;-0.452391;0.00583134
47300;-0.452391;0.00583134
47400;-0.443654;0.00649473
47500;-0.445513;0.0057421
47600;-0.444006;0.0068215
47700;-0.443983;0.00856032
47800;-0.447507;0.00817627
47900;-0.442246;0.00931216
48000;-0.450252;0.00673303
48100;-0.445836;0.00823851
48200;-0.445813;0.00599946
48300;-0.437842;0.00982752
48400;-0.446172;0.00837535
48500;-0.44622;0.0067764
48600;-0.438392;0.00856116
48700;-0.446902;0.00599611
48800;-0.442897;0.00805114
48900;-0.446755;0.00595133
49000;-0.446217;0.00654487
49100;-0.450738;0.00612447
49200;-0.450738;0.00612447
49300;-0.450738;0.00612447
49400;-0.448561;0.00773031
49500;-0.444297;0.0064263
49600;-0.439339;0.00577307
49700;-0.446637;0.00681307
49800;-0.446637;0.00681307
49900;-0.448233;0.00631842
50000;-0.450125;0.00812698
50100;-0.44816;0.0062534
50200;-0.444513;0.00615454
50300;-0.449238;0.00627132
50400;-0.447341;0.00634468
50500;-0.434946;0.00742444
50600;-0.446802;0.00668494
50700;-0.451519;0.00673637
50800;-0.454302;0.00606315
50900;-0.44771;0.00699448
51000;-0.451303;0.00624909
51100;-0.441218;0.00764261
51200;-0.449742;0.00563277
51300;-0.449742;0.00563277
51400;-0.446425;0.00645213
51500;-0.449845;0.00611026
51600;-0.449845;0.00611026
51700;-0.449845;0.00611026
