SA_step;mu;sigma
802;0.512451;0.763896
803;0.544462;0.793524
804;0.506072;0.81743
805;0.535246;0.804554
806;0.547353;0.814929
807;0.569069;0.797011
808;0.553695;0.793974
809;0.540418;0.81731
810;0.543638;0.801274
811;0.534945;0.802116
812;0.500361;0.805441
813;0.476266;0.795781
814;0.450195;0.814386
815;0.472045;0.798184
816;0.498277;0.794527
817;0.484144;0.820539
818;0.512926;0.804512
819;0.529092;0.790235
820;0.49897;0.76826
821;0.518553;0.786308
822;0.549614;0.80846
823;0.51386;0.799038
824;0.481324;0.807926
825;0.442351;0.829154
826;0.473428;0.835826
827;0.484908;0.825677
828;0.493618;0.854323
829;0.480364;0.8571
830;0.518246;0.833674
831;0.536984;0.808676
832;0.554046;0.830776
833;0.54296;0.837062
834;0.514262;0.844018
835;0.499666;0.858964
836;0.514828;0.869148
837;0.5402;0.858153
838;0.554518;0.84194
839;0.59182;0.862699
840;0.596714;0.854133
841;0.571485;0.859486
842;0.587509;0.871522
843;0.593774;0.897735
844;0.600459;0.890435
845;0.601446;0.899718
846;0.571631;0.913218
847;0.541812;0.884142
848;0.545636;0.870387
849;0.572788;0.852273
850;0.556845;0.860844
851;0.538701;0.859253
852;0.50948;0.887557
853;0.539718;0.912513
854;0.538967;0.884718
855;0.509139;0.884155
856;0.522818;0.898581
857;0.496548;0.906034
858;0.502669;0.915017
859;0.525779;0.901087
860;0.518437;0.871731
861;0.556353;0.866693
862;0.556353;0.866693
863;0.568663;0.854509
864;0.587348;0.830076
865;0.568592;0.852603
866;0.562431;0.839292
867;0.56578;0.810558
868;0.588834;0.794989
869;0.595264;0.807549
870;0.620164;0.795354
871;0.583039;0.776846
872;0.622905;0.773764
873;0.606081;0.774312
874;0.606081;0.774312
875;0.574627;0.803246
876;0.581747;0.813316
877;0.581747;0.813316
878;0.594962;0.818704
879;0.568357;0.829854
880;0.58743;0.836935
881;0.621653;0.808007
882;0.618195;0.831238
883;0.63143;0.826503
884;0.63447;0.838736
885;0.610575;0.823205
886;0.60316;0.832982
887;0.615159;0.847325
888;0.58665;0.866581
889;0.587722;0.837608
890;0.597496;0.815978
891;0.597496;0.815978
892;0.609128;0.797264
893;0.643402;0.820545
894;0.645353;0.79691
895;0.681608;0.798025
896;0.670159;0.787098
897;0.634659;0.782233
898;0.650068;0.781234
899;0.627187;0.758061
900;0.663044;0.750812
901;0.679098;0.744379
902;0.679098;0.744379
903;0.717367;0.719129
904;0.720794;0.72054
905;0.749033;0.727778
906;0.755627;0.7146
907;0.742853;0.695932
908;0.734711;0.678429
909;0.696699;0.655384
910;0.721566;0.665505
911;0.721566;0.665505
912;0.747953;0.671803
913;0.733501;0.665647
914;0.694657;0.657556
915;0.685529;0.65678
916;0.706245;0.640993
917;0.691459;0.615489
918;0.71815;0.600287
919;0.748406;0.614357
920;0.765853;0.640235
921;0.765853;0.640235
922;0.793229;0.64796
923;0.831599;0.638644
924;0.854483;0.659316
925;0.854483;0.659316
926;0.854483;0.659316
927;0.872174;0.6652
928;0.8411;0.63783
929;0.802727;0.637407
930;0.804837;0.645547
931;0.769132;0.673009
932;0.743931;0.654662
933;0.738233;0.654493
934;0.70805;0.659271
935;0.726624;0.657321
936;0.727302;0.630712
937;0.750228;0.606217
938;0.770665;0.579971
939;0.787998;0.609563
940;0.817927;0.608444
941;0.799948;0.606471
942;0.778343;0.61892
943;0.816003;0.632678
944;0.781894;0.637112
945;0.810826;0.661651
946;0.823308;0.667425
947;0.788118;0.641887
948;0.788118;0.641887
949;0.825087;0.630114
950;0.852089;0.641247
951;0.827036;0.658503
952;0.812581;0.648269
953;0.812581;0.648269
954;0.836971;0.631199
955;0.851472;0.6275
956;0.829061;0.618382
957;0.810912;0.61146
958;0.778326;0.618761
959;0.812256;0.640538
960;0.847002;0.65848
961;0.858527;0.650489
962;0.84543;0.650894
963;0.810989;0.658031
964;0.795308;0.659513
965;0.757153;0.651396
966;0.742865;0.655495
967;0.753405;0.649714
968;0.787728;0.621857
969;0.787728;0.621857
970;0.814082;0.641296
971;0.798695;0.663215
972;0.77942;0.636951
973;0.743146;0.614982
974;0.719211;0.617419
975;0.728251;0.594551
976;0.744482;0.618472
977;0.765945;0.62058
978;0.755275;0.632875
979;0.777563;0.613807
980;0.772627;0.591674
981;0.737465;0.592364
982;0.753986;0.569759
983;0.761876;0.553169
984;0.793323;0.566064
985;0.787778;0.557324
986;0.76139;0.586805
987;0.781057;0.578628
988;0.811186;0.597857
989;0.776659;0.583988
990;0.816157;0.579288
991;0.826447;0.571892
992;0.826447;0.571892
993;0.858883;0.583825
994;0.863368;0.58839
995;0.863368;0.58839
996;0.893631;0.617154
997;0.874719;0.587533
998;0.883331;0.560944
999;0.883331;0.560944
1000;0.850016;0.550449
1001;0.850016;0.550449
1002;0.85685;0.557162
1003;0.85685;0.557162
1004;0.882943;0.552054
1005;0.851797;0.532096
1006;0.851797;0.532096
1007;0.851797;0.532096
1008;0.854791;0.506393
1009;0.871147;0.526282
1010;0.871147;0.526282
1011;0.9085;0.548139
1012;0.916632;0.564477
1013;0.91255;0.536498
1014;0.946757;0.514435
1015;0.946757;0.514435
1016;0.939061;0.513117
1017;0.967402;0.529938
1018;0.950409;0.541708
1019;0.943502;0.524332
1020;0.9165;0.539726
1021;0.881287;0.56513
1022;0.873356;0.578491
1023;0.86313;0.605779
1024;0.828207;0.628327
1025;0.860424;0.64241
1026;0.847204;0.632336
1027;0.849675;0.606564
1028;0.873372;0.614011
1029;0.847552;0.584252
1030;0.847592;0.590698
1031;0.823888;0.586556
1032;0.801242;0.589554
1033;0.799297;0.571349
1034;0.835482;0.591797
1035;0.824439;0.568235
1036;0.812496;0.543321
1037;0.844157;0.521336
1038;0.842078;0.498129
1039;0.812157;0.505767
1040;0.812157;0.505767
1041;0.828803;0.500371
1042;0.816436;0.483205
1043;0.838771;0.487405
1044;0.825805;0.511354
1045;0.813178;0.538806
1046;0.837159;0.522792
1047;0.799184;0.509009
1048;0.801391;0.537338
1049;0.765388;0.555624
1050;0.729565;0.560653
1051;0.691892;0.539525
1052;0.669224;0.542007
1053;0.695317;0.51899
1054;0.675096;0.526188
